,address,tokens_bought,tokens_sold,total_transactions,unique_tokens_bought,unique_tokens_sold,net_posters
296,0x95ff3f04eccfa15a2bd12d6daf3ccfc5ad354510,15,15,30,15,15,0
297,0x65a05d8c6888879adf72c8798b56a0302a0f4a05,15,15,30,15,15,0
298,0x9f31c6bb1885d6ed567f89e0bf13db45c55d869c,15,15,30,15,15,0
299,0x9b296614f16847944510f0e1cb05265040c2be29,15,15,30,15,15,0
300,0x932a824a4d3d0680e0b352de150e6f212b8ac841,17,13,30,17,13,4
301,0xdb739cfbadd0a3422e31aaa34af6fcea13b1d3a7,15,15,30,15,15,0
302,0xdeb08d04004ea00bb6898d19267f7d3399e2827d,15,15,30,15,15,0
303,0xec080dbee8f60c8e6d7c3f52e10832718d2b8d5a,17,12,29,16,12,5
304,0x10585c1e61830349bf1a8a0a75945f627f9d03e2,16,13,29,15,12,3
305,0x5fec2698ccfbed306471c41baee4d1b913f377cb,17,12,29,17,12,5
306,0x8bc068613314eeb17fdc528d2f1227a3bb0e1df4,15,14,29,14,13,1
307,0x84a9165bbc73baaf09017a9f132630ced8723485,15,14,29,15,14,1
308,0x5aaaef91f93be4de932b8e7324abbf9f26daa706,16,13,29,16,13,3
309,0x94b6a0ee9762514b41bc95326759f78bc8194fd8,15,14,29,15,14,1
310,0x12c1c7e9892ef6e2e1dba4c3851dbeb8cf016638,29,0,29,29,0,29
311,0xdfc772212ed7acb353842936cb2ab7a48aad8a8a,15,14,29,15,14,1
312,0xd54d23200e2bf7cb7a7d6792a55da1377a697799,14,14,28,14,14,0
313,0xe1b1567a02daa679b0706f33521dcc119be269d0,14,14,28,14,14,0
314,0xbc7ad47665bf262dd2938eb41ab28051407bac4f,14,14,28,14,14,0
315,0xf9233cad29bbc39158c00872ef5830bb8e9da853,14,14,28,14,14,0
316,0xba1ba61ff159422bcb07f78017186624e94e6936,14,14,28,13,13,0
