,action,block_time,cost_basis,estimated_profit,ranking,token,traded_token,volume,wallet_address
20,sell,2022-02-09 14:40:38.000 UTC,18.133433363360087,,21,CORN,WMATIC,0.004881092038336152,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
21,sell,2021-05-18 07:31:24.000 UTC,80.67418313325257,,22,CORN,WMATIC,0.03796248005464327,"<a href=https://polygonscan.com//address/0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff target=_blank"">0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff</a>"
22,sell,2021-07-04 17:59:07.000 UTC,41.36833808260964,,23,CORN,WMATIC,0.02357017339029823,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
23,buy,2021-08-08 02:00:45.000 UTC,30.221826504841964,,24,CORN,WMATIC,0.011658783924222716,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
24,sell,2021-07-02 23:09:04.000 UTC,,,25,CORN,Krill,,"<a href=https://polygonscan.com//address/0x55a51de746064c1dccf29ed205f4510889fd95ff target=_blank"">0x55a51de746064c1dccf29ed205f4510889fd95ff</a>"
25,buy,2021-05-19 03:36:07.000 UTC,98.74771722135753,,26,CORN,WMATIC,24.686929305339383,"<a href=https://polygonscan.com//address/0x19e02b992c0295d27eecff941d5dbfaf85409d86 target=_blank"">0x19e02b992c0295d27eecff941d5dbfaf85409d86</a>"
26,buy,2021-07-02 23:28:34.000 UTC,39.818445668026285,,27,CORN,WMATIC,0.026897340715732132,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
27,buy,2021-10-07 04:58:41.000 UTC,14.232971887304297,,28,CORN,WMATIC,4.15073852035984,"<a href=https://polygonscan.com//address/0xeea5c309a371d6351acfc8d7a969b114250999bb target=_blank"">0xeea5c309a371d6351acfc8d7a969b114250999bb</a>"
28,buy,2021-06-18 03:20:20.000 UTC,52.84326149040458,,29,CORN,WMATIC,0.3050814259881479,"<a href=https://polygonscan.com//address/0x8f1fc3766884d4a890acb2cf4bd7a9af7b2a6932 target=_blank"">0x8f1fc3766884d4a890acb2cf4bd7a9af7b2a6932</a>"
29,sell,2021-06-19 22:33:23.000 UTC,48.81695921553722,,30,CORN,WMATIC,0.031198632450246035,"<a href=https://polygonscan.com//address/0x173fbc889fd3de1185d41dccf7cf89a98c37dca5 target=_blank"">0x173fbc889fd3de1185d41dccf7cf89a98c37dca5</a>"
30,sell,2021-06-22 19:39:55.000 UTC,,,31,CORN,Krill,,"<a href=https://polygonscan.com//address/0x55a51de746064c1dccf29ed205f4510889fd95ff target=_blank"">0x55a51de746064c1dccf29ed205f4510889fd95ff</a>"
31,buy,2021-07-04 04:59:37.000 UTC,,,32,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
32,sell,2021-07-03 02:45:28.000 UTC,38.86334724373732,,33,CORN,WMATIC,0.0191039510539151,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
33,sell,2021-07-04 08:02:24.000 UTC,,,34,CORN,Krill,,"<a href=https://polygonscan.com//address/0x55a51de746064c1dccf29ed205f4510889fd95ff target=_blank"">0x55a51de746064c1dccf29ed205f4510889fd95ff</a>"
34,buy,2021-07-02 23:49:48.000 UTC,,,35,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
35,sell,2021-07-04 12:13:23.000 UTC,41.018416970907126,,36,CORN,WMATIC,0.025036268324240232,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
